TSI CPC DATA VERSION 3
1489154481,2017/3/10,14:01:22
15
1.08,130
Model 3783 Ver 1.27 S/N 3783111302
"Date","Time","Concentration","Count"," Live-Time","Blank","Abs Press"," Analog In","Pulse Height"," Pulse STD","Status Flags"
2017/3/10,16:45:15,2.63e5,5264835,9.221,,999,0.000,1575,479,0
2017/3/10,16:45:30,2.51e5,5136897,9.419,,999,0.000,1555,480,0
2017/3/10,16:45:45,2.53e5,5154211,9.395,,999,0.000,1556,510,0
2017/3/10,16:46:00,2.63e5,5256513,9.224,,999,0.000,1571,513,0
2017/3/10,16:46:15,2.73e5,5369336,9.058,,999,0.000,1535,499,0
2017/3/10,16:46:30,2.54e5,5167318,9.377,,999,0.000,1545,483,0
2017/3/10,16:46:45,2.42e5,5030513,9.585,,999,0.000,1577,499,0
2017/3/10,16:47:00,2.49e5,5106538,9.472,,999,0.000,1568,474,0
2017/3/10,16:47:15,2.57e5,5205873,9.32,,999,0.000,1566,515,0
2017/3/10,16:47:30,2.63e5,5263009,9.23,,999,0.000,1518,510,0
2017/3/10,16:47:45,2.49e5,5110767,9.456,,999,0.000,1552,501,0
2017/3/10,16:48:00,2.44e5,5060360,9.545,,999,0.000,1572,490,0
2017/3/10,16:48:15,2.45e5,5068384,9.54,,999,0.000,1553,495,0
2017/3/10,16:48:30,2.50e5,5128549,9.438,,999,0.000,1555,498,0
2017/3/10,16:48:45,2.52e5,5150255,9.404,,999,0.000,1547,488,0
2017/3/10,16:49:00,2.53e5,5156739,9.401,,999,0.000,1547,484,0
2017/3/10,16:49:15,2.52e5,5156635,9.41,,999,0.000,1547,482,0
2017/3/10,16:49:30,2.50e5,5124956,9.445,,999,0.000,1569,506,0
2017/3/10,16:49:45,2.48e5,5110532,9.477,,999,0.000,1575,485,0
2017/3/10,16:50:00,2.50e5,5122590,9.451,,999,0.000,1571,504,0
2017/3/10,16:50:15,2.48e5,5110679,9.477,,999,0.000,1544,482,0
2017/3/10,16:50:30,2.45e5,5065352,9.541,,999,0.000,1568,484,0
2017/3/10,16:50:45,2.46e5,5086470,9.508,,999,0.000,1586,501,0
2017/3/10,16:51:00,2.45e5,5063475,9.538,,1000,0.000,1560,498,0
2017/3/10,16:51:15,2.46e5,5087757,9.515,,999,0.000,1588,485,0
2017/3/10,16:51:30,2.45e5,5068419,9.544,,999,0.000,1568,491,0
2017/3/10,16:51:45,2.50e5,5124464,9.452,,999,0.000,1538,506,0
2017/3/10,16:52:00,2.46e5,5084817,9.511,,999,0.000,1588,516,0
2017/3/10,16:52:15,2.47e5,5095286,9.503,,999,0.000,1542,504,0
2017/3/10,16:52:30,2.50e5,5125382,9.454,,999,0.000,1563,494,0
2017/3/10,16:52:45,2.54e5,5168987,9.379,,999,0.000,1573,517,0
2017/3/10,16:53:00,2.52e5,5153771,9.408,,999,0.000,1586,527,0
2017/3/10,16:53:15,2.48e5,5090553,9.494,,999,0.000,1534,516,0
2017/3/10,16:53:30,2.46e5,5084926,9.513,,999,0.000,1546,502,0
2017/3/10,16:53:45,2.51e5,5139967,9.425,,999,0.000,1595,507,0
2017/3/10,16:54:00,2.45e5,5074328,9.526,,999,0.000,1579,509,0
2017/3/10,16:54:15,2.52e5,5147146,9.425,,999,0.000,1558,516,0
2017/3/10,16:54:30,2.46e5,5079860,9.523,,999,0.000,1545,490,0
2017/3/10,16:54:45,2.52e5,5154488,9.403,,1000,0.000,1545,496,0
2017/3/10,16:55:00,2.56e5,5195755,9.344,,999,0.000,1560,527,0
2017/3/10,16:55:15,2.59e5,5222689,9.301,,999,0.000,1529,469,0
2017/3/10,16:55:30,2.54e5,5176955,9.373,,1000,0.000,1555,515,0
2017/3/10,16:55:45,2.49e5,5113538,9.46,,999,0.000,1572,495,0
2017/3/10,16:56:00,2.43e5,5041730,9.576,,999,0.000,1585,517,0
2017/3/10,16:56:15,2.38e5,4994645,9.647,,999,0.000,1572,509,0
2017/3/10,16:56:30,2.40e5,5007299,9.626,,999,0.000,1568,479,0
2017/3/10,16:56:45,2.45e5,5071829,9.526,,999,0.000,1594,489,0
2017/3/10,16:57:00,2.48e5,5105246,9.476,,999,0.000,1588,537,0
2017/3/10,16:57:15,2.45e5,5073020,9.535,,1000,0.000,1567,491,0
2017/3/10,16:57:30,2.37e5,4973433,9.678,,999,0.000,1583,490,0
2017/3/10,16:57:45,2.36e5,4969229,9.687,,999,0.000,1552,510,0
2017/3/10,16:58:00,2.33e5,4928337,9.732,,999,0.000,1584,511,0
2017/3/10,16:58:15,2.37e5,4971590,9.68,,1000,0.000,1567,488,0
2017/3/10,16:58:30,2.36e5,4965167,9.679,,999,0.000,1610,478,0
2017/3/10,16:58:45,2.34e5,4931959,9.724,,1000,0.000,1584,498,0
2017/3/10,16:59:00,2.29e5,4878684,9.806,,999,0.000,1617,494,0
2017/3/10,16:59:15,2.33e5,4932095,9.734,,999,0.000,1619,516,0
2017/3/10,16:59:30,2.29e5,4877175,9.804,,1000,0.000,1596,499,0
2017/3/10,16:59:45,2.33e5,4925771,9.735,,1000,0.000,1567,478,0
2017/3/10,17:00:00,2.31e5,4902836,9.771,,1000,0.000,1599,495,0
2017/3/10,17:00:15,2.30e5,4886907,9.799,,1000,0.000,1593,527,0
2017/3/10,17:00:30,2.27e5,4853301,9.839,,999,0.000,1597,484,0
2017/3/10,17:00:45,3.26e5,5665156,8.337,,1000,0.000,1485,582,0
2017/3/10,17:01:00,2.50e5,5105981,9.446,,999,0.000,1572,515,0
2017/3/10,17:01:15,2.02e5,4520914,10.3,,1000,0.000,1678,499,0
2017/3/10,17:01:30,1.97e5,4450704,10.39,,999,0.000,1639,512,0
2017/3/10,17:01:45,2.03e5,4534486,10.27,,1000,0.000,1628,504,0
2017/3/10,17:02:00,1.97e5,4449359,10.39,,999,0.000,1658,517,0
2017/3/10,17:02:15,2.01e5,4498301,10.33,,1000,0.000,1639,491,0
2017/3/10,17:02:30,2.06e5,4576926,10.22,,999,0.000,1674,483,0
2017/3/10,17:02:45,2.05e5,4561804,10.24,,999,0.000,1625,510,0
2017/3/10,17:03:00,2.07e5,4587466,10.21,,999,0.000,1633,482,0
2017/3/10,17:03:15,1.98e5,4463060,10.37,,1000,0.000,1660,489,0
2017/3/10,17:03:30,1.97e5,4447959,10.39,,1000,0.000,1668,489,0
2017/3/10,17:03:45,2.03e5,4533611,10.28,,999,0.000,1632,499,0
2017/3/10,17:04:00,1.98e5,4464542,10.37,,999,0.000,1643,509,0
2017/3/10,17:04:15,1.97e5,4445091,10.39,,1000,0.000,1673,478,0
2017/3/10,17:04:30,1.90e5,4340069,10.53,,1000,0.000,1701,483,0
2017/3/10,17:04:45,1.75e5,4122087,10.81,,1000,0.000,1691,505,0
2017/3/10,17:05:00,1.58e5,3837748,11.15,,999,0.000,1740,499,0
2017/3/10,17:05:15,1.62e5,3902918,11.08,,999,0.000,1719,480,0
2017/3/10,17:05:30,1.45e5,3599370,11.43,,1000,0.000,1749,490,0
2017/3/10,17:05:45,1.47e5,3645128,11.38,,1000,0.000,1767,491,0
2017/3/10,17:06:00,1.45e5,3601213,11.43,,999,0.000,1738,494,0
2017/3/10,17:06:15,1.33e5,3381805,11.68,,1000,0.000,1820,484,0
2017/3/10,17:06:30,1.34e5,3390968,11.67,,1000,0.000,1756,495,0
2017/3/10,17:06:45,1.12e5,2958135,12.14,,1000,0.000,1817,474,0
2017/3/10,17:07:00,1.07e5,2852858,12.25,,1000,0.000,1838,472,0
2017/3/10,17:07:15,1.04e5,2791621,12.32,,999,0.000,1807,489,0
2017/3/10,17:07:30,1.10e5,2918690,12.19,,1000,0.000,1788,474,0
2017/3/10,17:07:45,9.77e4,2639645,12.48,,999,0.000,1848,457,0
2017/3/10,17:08:00,1.04e5,2795053,12.31,,1000,0.000,1842,445,0
2017/3/10,17:08:15,1.03e5,2760608,12.35,,999,0.000,1844,480,0
2017/3/10,17:08:30,8.43e4,2333364,12.79,,1000,0.000,1900,465,0
2017/3/10,17:08:45,8.10e4,2256939,12.86,,1000,0.000,1918,456,0
2017/3/10,17:09:00,7.67e4,2155829,12.97,,999,0.000,1932,450,0
2017/3/10,17:09:15,6.70e4,1915933,13.2,,999,0.000,1962,473,0
2017/3/10,17:09:30,5.84e4,1699529,13.4,,999,0.000,2015,474,0
2017/3/10,17:09:45,5.62e4,1640075,13.46,,999,0.000,2025,510,0
2017/3/10,17:10:00,5.52e4,1615091,13.48,,999,0.000,2056,467,0
2017/3/10,17:10:15,5.24e4,1538814,13.56,,999,0.000,2092,467,0
2017/3/10,17:10:30,5.07e4,1495047,13.6,,999,0.000,2089,472,0
2017/3/10,17:10:45,5.03e4,1483591,13.61,,999,0.000,2056,476,0
2017/3/10,17:11:00,4.83e4,1430835,13.66,,999,0.000,2061,477,0
2017/3/10,17:11:15,4.81e4,1426817,13.66,,999,0.000,2106,469,0
2017/3/10,17:11:30,4.56e4,1357418,13.72,,999,0.000,2087,516,0
2017/3/10,17:11:45,4.51e4,1343071,13.73,,999,0.000,2109,491,0
2017/3/10,17:12:00,4.56e4,1357340,13.72,,999,0.000,2110,495,0
2017/3/10,17:12:15,4.48e4,1335152,13.74,,999,0.000,2098,496,0
2017/3/10,17:12:30,4.39e4,1310394,13.76,,999,0.000,2124,520,0
2017/3/10,17:12:45,4.41e4,1316972,13.76,,999,0.000,2110,483,0
2017/3/10,17:13:00,4.42e4,1320429,13.75,,999,0.000,2100,513,0
2017/3/10,17:13:15,4.36e4,1301940,13.77,,999,0.000,2145,480,0
2017/3/10,17:13:30,4.33e4,1296005,13.78,,999,0.000,2113,524,0
2017/3/10,17:13:45,4.28e4,1280206,13.79,,999,0.000,2147,493,0
2017/3/10,17:14:00,4.22e4,1263766,13.81,,999,0.000,2143,471,0
2017/3/10,17:14:15,4.07e4,1223743,13.85,,999,0.000,2122,501,0
2017/3/10,17:14:30,3.95e4,1190844,13.88,,999,0.000,2171,495,0
2017/3/10,17:14:45,3.89e4,1172516,13.9,,999,0.000,2164,493,0
2017/3/10,17:15:00,3.96e4,1192145,13.88,,999,0.000,2166,479,0
2017/3/10,17:15:15,3.93e4,1183108,13.89,,999,0.000,2170,483,0
2017/3/10,17:15:30,3.78e4,1143626,13.92,,999,0.000,2165,485,0
2017/3/10,17:15:45,3.70e4,1120928,13.94,,999,0.000,2178,494,0
2017/3/10,17:16:00,3.69e4,1116330,13.95,,999,0.000,2186,491,0
2017/3/10,17:16:15,3.72e4,1126232,13.94,,999,0.000,2161,505,0
2017/3/10,17:16:30,3.61e4,1095487,13.97,,999,0.000,2177,504,0
2017/3/10,17:16:45,3.55e4,1079064,13.98,,999,0.000,2185,500,0
2017/3/10,17:17:00,3.50e4,1063102,14.0,,999,0.000,2214,501,0
2017/3/10,17:17:15,3.54e4,1074656,13.99,,999,0.000,2181,506,0
2017/3/10,17:17:30,3.53e4,1071536,13.99,,999,0.000,2208,473,0
2017/3/10,17:17:45,3.38e4,1028584,14.03,,999,0.000,2220,477,0
2017/3/10,17:18:00,3.39e4,1031284,14.03,,999,0.000,2229,484,0
2017/3/10,17:18:15,3.46e4,1051515,14.01,,999,0.000,2191,494,0
2017/3/10,17:18:30,3.40e4,1035057,14.02,,999,0.000,2203,489,0
2017/3/10,17:18:45,3.39e4,1033482,14.03,,999,0.000,2204,505,0
2017/3/10,17:19:00,3.33e4,1015813,14.04,,999,0.000,2194,499,0
2017/3/10,17:19:15,3.31e4,1008737,14.05,,999,0.000,2231,505,0
2017/3/10,17:19:30,3.16e4,965723,14.09,,999,0.000,2231,506,0
2017/3/10,17:19:45,3.14e4,962348,14.09,,999,0.000,2207,533,0
2017/3/10,17:20:00,3.11e4,952466,14.1,,999,0.000,2257,494,0
2017/3/10,17:20:15,3.10e4,948766,14.1,,999,0.000,2270,493,0
2017/3/10,17:20:30,3.11e4,952934,14.1,,999,0.000,2259,494,0
2017/3/10,17:20:45,3.07e4,941701,14.11,,999,0.000,2227,501,0
2017/3/10,17:21:00,3.07e4,940972,14.11,,999,0.000,2265,483,0
2017/3/10,17:21:15,3.03e4,928000,14.12,,999,0.000,2266,488,0
2017/3/10,17:21:30,3.01e4,923081,14.13,,999,0.000,2275,480,0
2017/3/10,17:21:45,3.03e4,930655,14.12,,999,0.000,2265,493,0
2017/3/10,17:22:00,3.05e4,933682,14.12,,999,0.000,2235,533,0
2017/3/10,17:22:15,2.96e4,908099,14.14,,999,0.000,2283,489,0
2017/3/10,17:22:30,2.87e4,882016,14.17,,999,0.000,2238,538,0
2017/3/10,17:22:45,2.83e4,872437,14.18,,999,0.000,2250,521,0
2017/3/10,17:23:00,2.78e4,857369,14.19,,999,0.000,2293,484,0
2017/3/10,17:23:15,2.88e4,884886,14.16,,999,0.000,2269,500,0
2017/3/10,17:23:30,2.76e4,849622,14.2,,999,0.000,2288,484,0
2017/3/10,17:23:45,2.86e4,880566,14.17,,999,0.000,2303,467,0
2017/3/10,17:24:00,2.81e4,866411,14.18,,999,0.000,2249,518,0
2017/3/10,17:24:15,2.71e4,835585,14.21,,999,0.000,2281,491,0
2017/3/10,17:24:30,2.61e4,806011,14.24,,999,0.000,2293,496,0
2017/3/10,17:24:45,2.67e4,825569,14.22,,999,0.000,2281,483,0
2017/3/10,17:25:00,2.71e4,836869,14.21,,999,0.000,2283,493,0
2017/3/10,17:25:15,2.61e4,808364,14.24,,999,0.000,2308,458,0
2017/3/10,17:25:30,2.56e4,791369,14.25,,999,0.000,2327,461,0
2017/3/10,17:25:45,2.56e4,793424,14.25,,999,0.000,2298,491,0
2017/3/10,17:26:00,2.67e4,823891,14.22,,999,0.000,2292,493,0
2017/3/10,17:26:15,2.57e4,795544,14.25,,999,0.000,2327,485,0
2017/3/10,17:26:30,2.50e4,773531,14.27,,999,0.000,2294,479,0
2017/3/10,17:26:45,2.50e4,773889,14.27,,999,0.000,2326,468,0
2017/3/10,17:27:00,2.43e4,754243,14.28,,999,0.000,2299,488,0
2017/3/10,17:27:15,2.38e4,739285,14.3,,999,0.000,2346,482,0
2017/3/10,17:27:30,2.48e4,769399,14.27,,999,0.000,2308,523,0
2017/3/10,17:27:45,2.39e4,741983,14.3,,999,0.000,2331,504,0
2017/3/10,17:28:00,2.35e4,729496,14.31,,999,0.000,2324,506,0
2017/3/10,17:28:15,2.34e4,726756,14.31,,999,0.000,2333,472,0
2017/3/10,17:28:30,2.31e4,718907,14.32,,999,0.000,2349,467,0
2017/3/10,17:28:45,2.36e4,733834,14.3,,999,0.000,2325,485,0
2017/3/10,17:29:00,2.33e4,725694,14.31,,999,0.000,2326,469,0
2017/3/10,17:29:15,2.27e4,707229,14.33,,999,0.000,2349,458,0
2017/3/10,17:29:30,2.30e4,714946,14.32,,1000,0.000,2331,490,0
2017/3/10,17:29:45,2.30e4,716694,14.32,,999,0.000,2360,461,0
2017/3/10,17:30:00,2.28e4,710844,14.33,,999,0.000,2329,490,0
2017/3/10,17:30:15,2.26e4,705135,14.33,,999,0.000,2335,505,0
2017/3/10,17:30:30,2.21e4,688517,14.35,,999,0.000,2348,504,0
2017/3/10,17:30:45,2.15e4,671152,14.36,,1000,0.000,2320,505,0
2017/3/10,17:31:00,2.12e4,661626,14.37,,999,0.000,2340,480,0
2017/3/10,17:31:15,2.15e4,672540,14.36,,1000,0.000,2326,521,0
2017/3/10,17:31:30,2.13e4,665238,14.37,,999,0.000,2354,480,0
2017/3/10,17:31:45,2.15e4,671535,14.36,,999,0.000,2329,505,0
2017/3/10,17:32:00,2.13e4,663759,14.37,,999,0.000,2325,500,0
2017/3/10,17:32:15,2.08e4,650897,14.38,,999,0.000,2365,480,0
2017/3/10,17:32:30,1.99e4,624632,14.4,,999,0.000,2366,473,0
2017/3/10,17:32:45,2.04e4,637209,14.39,,999,0.000,2340,507,0
2017/3/10,17:33:00,2.05e4,640488,14.39,,999,0.000,2363,487,0
2017/3/10,17:33:15,2.03e4,635329,14.39,,999,0.000,2352,485,0
2017/3/10,17:33:30,2.00e4,625306,14.4,,999,0.000,2347,507,0
2017/3/10,17:33:45,1.99e4,623656,14.41,,999,0.000,2353,501,0
2017/3/10,17:34:00,1.94e4,606974,14.42,,999,0.000,2386,467,0
2017/3/10,17:34:15,1.88e4,589981,14.44,,999,0.000,2409,440,0
2017/3/10,17:34:30,1.95e4,609724,14.42,,999,0.000,2332,515,0
2017/3/10,17:34:45,1.92e4,603641,14.42,,999,0.000,2343,502,0
2017/3/10,17:35:00,1.89e4,592155,14.44,,999,0.000,2340,501,0
2017/3/10,17:35:15,1.89e4,593876,14.43,,999,0.000,2349,524,0
2017/3/10,17:35:30,1.85e4,580537,14.45,,999,0.000,2377,472,0
2017/3/10,17:35:45,1.86e4,585014,14.44,,999,0.000,2369,494,0
2017/3/10,17:36:00,1.80e4,567438,14.46,,999,0.000,2382,471,0
2017/3/10,17:36:15,1.82e4,573013,14.45,,999,0.000,2363,493,0
2017/3/10,17:36:30,1.83e4,574036,14.45,,1000,0.000,2379,496,0
2017/3/10,17:36:45,1.84e4,579418,14.45,,999,0.000,2415,465,0
2017/3/10,17:37:00,1.76e4,552908,14.47,,999,0.000,2386,483,0
2017/3/10,17:37:15,1.77e4,557208,14.47,,999,0.000,2342,520,0
2017/3/10,17:37:30,1.75e4,550577,14.47,,999,0.000,2377,485,0
2017/3/10,17:37:45,1.73e4,544698,14.48,,999,0.000,2377,485,0
2017/3/10,17:38:00,1.73e4,545072,14.48,,999,0.000,2387,490,0
2017/3/10,17:38:15,1.72e4,542417,14.48,,999,0.000,2410,477,0
2017/3/10,17:38:30,1.71e4,539970,14.48,,999,0.000,2380,502,0
2017/3/10,17:38:45,1.70e4,536270,14.49,,999,0.000,2387,482,0
2017/3/10,17:39:00,1.67e4,527095,14.5,,999,0.000,2347,513,0
2017/3/10,17:39:15,1.66e4,522884,14.5,,999,0.000,2362,477,0
2017/3/10,17:39:30,1.66e4,523883,14.5,,999,0.000,2382,494,0
2017/3/10,17:39:45,1.63e4,515309,14.51,,1000,0.000,2369,507,0
2017/3/10,17:40:00,1.61e4,507590,14.51,,999,0.000,2362,487,0
2017/3/10,17:40:15,1.54e4,486562,14.53,,1000,0.000,2429,466,0
2017/3/10,17:40:30,1.56e4,492885,14.53,,1000,0.000,2399,469,0
2017/3/10,17:40:45,1.57e4,495770,14.52,,999,0.000,2399,479,0
2017/3/10,17:41:00,1.56e4,492540,14.53,,999,0.000,2380,484,0
2017/3/10,17:41:15,1.54e4,488138,14.53,,999,0.000,2409,476,0
2017/3/10,17:41:30,1.54e4,488055,14.53,,999,0.000,2409,476,0
2017/3/10,17:41:45,1.54e4,486827,14.53,,999,0.000,2375,479,0
2017/3/10,17:42:00,1.51e4,478632,14.54,,1000,0.000,2412,482,0
2017/3/10,17:42:15,1.50e4,473796,14.54,,999,0.000,2398,483,0
2017/3/10,17:42:30,1.49e4,471075,14.55,,999,0.000,2408,488,0
2017/3/10,17:42:45,1.49e4,471659,14.55,,999,0.000,2377,511,0
2017/3/10,17:43:00,1.47e4,464398,14.55,,999,0.000,2424,473,0
2017/3/10,17:43:15,1.44e4,455066,14.56,,999,0.000,2398,504,0
2017/3/10,17:43:30,1.45e4,460085,14.56,,999,0.000,2434,463,0
2017/3/10,17:43:45,1.42e4,449587,14.57,,999,0.000,2430,477,0
2017/3/10,17:44:00,1.43e4,454429,14.56,,999,0.000,2426,474,0
2017/3/10,17:44:15,1.39e4,439607,14.58,,1000,0.000,2413,485,0
2017/3/10,17:44:30,1.40e4,443586,14.57,,999,0.000,2421,483,0
2017/3/10,17:44:45,1.39e4,440010,14.58,,999,0.000,2423,466,0
2017/3/10,17:45:00,1.38e4,437350,14.58,,999,0.000,2424,458,0
2017/3/10,17:45:15,1.38e4,436748,14.58,,999,0.000,2409,479,0
2017/3/10,17:45:30,1.36e4,433159,14.58,,999,0.000,2404,510,0
2017/3/10,17:45:45,1.34e4,426970,14.59,,999,0.000,2377,513,0
2017/3/10,17:46:00,1.34e4,426691,14.59,,999,0.000,2449,463,0
2017/3/10,17:46:15,1.28e4,407445,14.61,,999,0.000,2443,460,0
2017/3/10,17:46:30,1.28e4,406561,14.61,,999,0.000,2432,482,0
2017/3/10,17:46:45,1.29e4,411251,14.6,,1000,0.000,2413,480,0
2017/3/10,17:47:00,1.29e4,409439,14.6,,999,0.000,2418,493,0
2017/3/10,17:47:15,1.29e4,408763,14.61,,999,0.000,2407,488,0
2017/3/10,17:47:30,1.26e4,400179,14.61,,999,0.000,2471,443,0
2017/3/10,17:47:45,1.26e4,399839,14.61,,999,0.000,2430,483,0
2017/3/10,17:48:00,1.22e4,388167,14.63,,1000,0.000,2438,472,0
2017/3/10,17:48:15,1.23e4,392390,14.62,,999,0.000,2441,462,0
